Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C28,"0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","9.750000","40.762500","180.000000","Bottom"
C29,"0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","9.512500","46.262500","180.000000","Bottom"
FID4,"Fiducial","Fiducial_1mm_Mask3mm","68.250000","49.000000","180.000000","Bottom"
FID5,"Fiducial","Fiducial_1mm_Mask3mm","68.250000","4.000000","180.000000","Bottom"
FID6,"Fiducial","Fiducial_1mm_Mask3mm","9.750000","4.000000","180.000000","Bottom"
Jetson1,"Conn_02x20_Odd_Even","PinHeader_2x20_P2.54mm_Vertical_SMD","30.690000","33.975000","-90.000000","Bottom"
U6,"BMI088","Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering","10.250000","43.512500","180.000000","Bottom"
Boot1,"SW_Push","SW_SPST_CK_RS282G05A3","40.750000","45.000000","90.000000","Top"
C1,"0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","42.730000","33.000000","-90.000000","Top"
C2,"0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","44.240000","23.500000","-90.000000","Top"
C3,"1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","45.750000","23.500000","-90.000000","Top"
C4,"10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","47.240000","23.500000","-90.000000","Top"
C5,"0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","34.000000","22.250000","90.000000","Top"
C6,"1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","34.000000","18.750000","-90.000000","Top"
C7,"1uF/10V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","33.500000","27.750000","180.000000","Top"
C8,"10nF/10V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","48.750000","23.500000","-90.000000","Top"
C9,"0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","45.230000","32.750000","0.000000","Top"
C10,"0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","45.230000","31.250000","0.000000","Top"
C11,"10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","56.750000","22.250000","180.000000","Top"
C12,"10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","53.137500","13.500000","180.000000","Top"
C13,"0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","53.137500","15.000000","180.000000","Top"
C14,"10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","51.500000","7.400000","90.000000","Top"
C15,"0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","60.500000","7.400000","90.000000","Top"
C16,"22pF/10V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","49.000000","27.250000","90.000000","Top"
C17,"22pF/10V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","44.230000","27.250000","-90.000000","Top"
C18,"100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","42.500000","39.250000","0.000000","Top"
C19,"100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","49.250000","39.250000","0.000000","Top"
C20,"100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","35.612500","39.250000","0.000000","Top"
C21,"0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","18.750000","16.250000","0.000000","Top"
C22,"22pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","26.000000","20.500000","-90.000000","Top"
C23,"22pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","22.887500","22.000000","180.000000","Top"
C24,"0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","22.500000","34.740000","0.000000","Top"
C25,"0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","22.500000","33.250000","0.000000","Top"
C26,"0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","22.500000","31.740000","0.000000","Top"
C27,"0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","22.250000","12.250000","90.000000","Top"
C30,"0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","27.175000","25.525000","-90.000000","Top"
C31,"0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","29.675000","28.275000","0.000000","Top"
C32,"10nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","4.250000","19.250000","180.000000","Top"
D1,"ESD9B5.0ST5G","D_SOD-923","57.000000","23.500000","0.000000","Top"
